"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
alcohol,persnet_survey,"<u><font size=3>Health Habits</u></font>

<span style = ""font-weight:lighter"">Please remember that the more carefully you can answer the following questions about yourself and those in your network, the more you are helping the research, and in turn helping your fellow teammates.</font>",radio,"Have you cut back on heavy drinking of alcohol <br/> in the past 3 months?","1, Yes | 0, No | 9, I do not drink heavily",,,,,,,,,,,,
supplements,persnet_survey,,radio,"Have you cut back on performance enhancing <br/> drugs or supplements in the past 3 months?","1, Yes | 0, No | 9, I do not use performance enhancing <div style = ""padding-left:1em"">drugs or supplements</div>",,,,,,,,,,,,
exercise,persnet_survey,,radio,"Have you exercised at least 3-4 times a week over <br/> the past 3 months?","1, Yes | 0, No",,,,,,,,,,,,
diet,persnet_survey,,radio,"Did you eat a healthy diet regularly over the past <br/> 3 months?","1, Yes | 0, No",,,,,,,,,,,,
health,persnet_survey,,checkbox,"In which areas do you feel you experience more <br/> health problems than the average person? 
<span style = ""font-weight:lighter; font-style:italic"">(Select all that apply)</span>","1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems",,,,,,,,,,,,
name1alcohol,persnet_survey,"Which people in your network do you think have cut back on heavy drinking of alcohol in the past 3 months? ",radio,[name1],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"[name_1] = ""1""",,,,names_smoking,,
name2alcohol,persnet_survey,,radio,[name2],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"[name_2] = ""1""",,,,names_smoking,,
name3alcohol,persnet_survey,,radio,[name3],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"[name_3] = ""1""",,,,names_smoking,,
name4alcohol,persnet_survey,,radio,[name4],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"[name_4] = ""1""",,,,names_smoking,,
name5alcohol,persnet_survey,,radio,[name5],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"[name_5] = ""1""",,,,names_smoking,,
name6alcohol,persnet_survey,,radio,[name6],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"[name_6] = ""1""",,,,names_smoking,,
name7alcohol,persnet_survey,,radio,[name7],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"[name_7] = ""1""",,,,names_smoking,,
name8alcohol,persnet_survey,,radio,[name8],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"[name_8] = ""1""",,,,names_smoking,,
name9alcohol,persnet_survey,,radio,[name9],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"[name_9] = ""1""",,,,names_smoking,,
name10alcohol,persnet_survey,,radio,[name10],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"[name_10] = ""1""",,,,names_smoking,,
name11alcohol,persnet_survey,,radio,[name11],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,names_smoking,,
name12alcohol,persnet_survey,,radio,[name12],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,names_smoking,,
name13alcohol,persnet_survey,,radio,[name13],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,names_smoking,,
name14alcohol,persnet_survey,,radio,[name14],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,names_smoking,,
name15alcohol,persnet_survey,,radio,[name15],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,names_smoking,,
name1supp,persnet_survey,"Which people in your network do you think have cut back on performance enhancing drugs or supplements in the past 3 months?",radio,[name1],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"[name_1] = ""1""",,,,names_supp,,
name2supp,persnet_survey,,radio,[name2],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"[name_2] = ""1""",,,,names_supp,,
name3supp,persnet_survey,,radio,[name3],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"[name_3] = ""1""",,,,names_supp,,
name4supp,persnet_survey,,radio,[name4],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"[name_4] = ""1""",,,,names_supp,,
name5supp,persnet_survey,,radio,[name5],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"[name_5] = ""1""",,,,names_supp,,
name6supp,persnet_survey,,radio,[name6],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"[name_6] = ""1""",,,,names_supp,,
name7supp,persnet_survey,,radio,[name7],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"[name_7] = ""1""",,,,names_supp,,
name8supp,persnet_survey,,radio,[name8],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"[name_8] = ""1""",,,,names_supp,,
name9supp,persnet_survey,,radio,[name9],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"[name_9] = ""1""",,,,names_supp,,
name10supp,persnet_survey,,radio,[name10],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"[name_10] = ""1""",,,,names_supp,,
name11supp,persnet_survey,,radio,[name11],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,names_supp,,
name12supp,persnet_survey,,radio,[name12],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,names_supp,,
name13supp,persnet_survey,,radio,[name13],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,names_supp,,
name14supp,persnet_survey,,radio,[name14],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,names_supp,,
name15supp,persnet_survey,,radio,[name15],"1, Yes | 0, No | 9, Does not take performance enhancing drugs or supplements | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,names_supp,,
name1exer,persnet_survey,"Which people in your network do you think have exercised at least 3-4 times a week in the past 3 months?",radio,[name1],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_1] = ""1""",,,,names_exercise,,
name2exer,persnet_survey,,radio,[name2],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_2] = ""1""",,,,names_exercise,,
name3exer,persnet_survey,,radio,[name3],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_3] = ""1""",,,,names_exercise,,
name4exer,persnet_survey,,radio,[name4],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_4] = ""1""",,,,names_exercise,,
name5exer,persnet_survey,,radio,[name5],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_5] = ""1""",,,,names_exercise,,
name6exer,persnet_survey,,radio,[name6],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_6] = ""1""",,,,names_exercise,,
name7exer,persnet_survey,,radio,[name7],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_7] = ""1""",,,,names_exercise,,
name8exer,persnet_survey,,radio,[name8],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_8] = ""1""",,,,names_exercise,,
name9exer,persnet_survey,,radio,[name9],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_9] = ""1""",,,,names_exercise,,
name10exer,persnet_survey,,radio,[name10],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_10] = ""1""",,,,names_exercise,,
name11exer,persnet_survey,,radio,[name11],"1, Yes | 0, No | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,names_exercise,,
name12exer,persnet_survey,,radio,[name12],"1, Yes | 0, No | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,names_exercise,,
name13exer,persnet_survey,,radio,[name13],"1, Yes | 0, No | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,names_exercise,,
name14exer,persnet_survey,,radio,[name14],"1, Yes | 0, No | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,names_exercise,,
name15exer,persnet_survey,,radio,[name15],"1, Yes | 0, No | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,names_exercise,,
name1diet,persnet_survey,"Which people in your network do you think have eaten a healthy diet regularly over the past 3 months?",radio,[name1],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_1] = ""1""",,,,names_healthy_diet,,
name2diet,persnet_survey,,radio,[name2],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_2] = ""1""",,,,names_healthy_diet,,
name3diet,persnet_survey,,radio,[name3],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_3] = ""1""",,,,names_healthy_diet,,
name4diet,persnet_survey,,radio,[name4],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_4] = ""1""",,,,names_healthy_diet,,
name5diet,persnet_survey,,radio,[name5],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_5] = ""1""",,,,names_healthy_diet,,
name6diet,persnet_survey,,radio,[name6],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_6] = ""1""",,,,names_healthy_diet,,
name7diet,persnet_survey,,radio,[name7],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_7] = ""1""",,,,names_healthy_diet,,
name8diet,persnet_survey,,radio,[name8],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_8] = ""1""",,,,names_healthy_diet,,
name9diet,persnet_survey,,radio,[name9],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_9] = ""1""",,,,names_healthy_diet,,
name10diet,persnet_survey,,radio,[name10],"1, Yes | 0, No | 99, Don't know",,,,,,"[name_10] = ""1""",,,,names_healthy_diet,,
name11diet,persnet_survey,,radio,[name11],"1, Yes | 0, No | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,names_healthy_diet,,
name12diet,persnet_survey,,radio,[name12],"1, Yes | 0, No | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,names_healthy_diet,,
name13diet,persnet_survey,,radio,[name13],"1, Yes | 0, No | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,names_healthy_diet,,
name14diet,persnet_survey,,radio,[name14],"1, Yes | 0, No | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,names_healthy_diet,,
name15diet,persnet_survey,,radio,[name15],"1, Yes | 0, No | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,names_healthy_diet,,
name1health,persnet_survey,"In which areas do people in your network experience health problems that are more than typical for an average person? (Select all that apply)
",checkbox,[name1],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_1] = ""1""",,,,names_healthproblems,,
name2health,persnet_survey,,checkbox,[name2],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_2] = ""1""",,,,names_healthproblems,,
name3health,persnet_survey,,checkbox,[name3],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_3] = ""1""",,,,names_healthproblems,,
name4health,persnet_survey,,checkbox,[name4],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_4] = ""1""",,,,names_healthproblems,,
name5health,persnet_survey,,checkbox,[name5],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_5] = ""1""",,,,names_healthproblems,,
name6health,persnet_survey,,checkbox,[name6],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_6] = ""1""",,,,names_healthproblems,,
name7health,persnet_survey,,checkbox,[name7],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_7] = ""1""",,,,names_healthproblems,,
name8health,persnet_survey,,checkbox,[name8],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_8] = ""1""",,,,names_healthproblems,,
name9health,persnet_survey,,checkbox,[name9],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_9] = ""1""",,,,names_healthproblems,,
name10health,persnet_survey,,checkbox,[name10],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_10] = ""1""",,,,names_healthproblems,,
name11health,persnet_survey,,checkbox,[name11],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,names_healthproblems,,
name12health,persnet_survey,,checkbox,[name12],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,names_healthproblems,,
name13health,persnet_survey,,checkbox,[name13],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,names_healthproblems,,
name14health,persnet_survey,,checkbox,[name14],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,names_healthproblems,,
name15health,persnet_survey,,checkbox,[name15],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,names_healthproblems,,
name1dist,persnet_survey,"How far does each person live from you?",radio,[name1],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_1] = ""1""",,,,distance,,
name2dist,persnet_survey,,radio,[name2],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_2] = ""1""",,,,distance,,
name3dist,persnet_survey,,radio,[name3],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_3] = ""1""",,,,distance,,
name4dist,persnet_survey,,radio,[name4],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_4] = ""1""",,,,distance,,
name5dist,persnet_survey,,radio,[name5],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_5] = ""1""",,,,distance,,
name6dist,persnet_survey,,radio,[name6],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_6] = ""1""",,,,distance,,
name7dist,persnet_survey,,radio,[name7],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_7] = ""1""",,,,distance,,
name8dist,persnet_survey,,radio,[name8],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_8] = ""1""",,,,distance,,
name9dist,persnet_survey,,radio,[name9],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_9] = ""1""",,,,distance,,
name10dist,persnet_survey,,radio,[name10],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_10] = ""1""",,,,distance,,
name11dist,persnet_survey,,radio,[name11],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[first] < 10 and [name_11] = ""1""",,,,distance,,
name12dist,persnet_survey,,radio,[name12],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,distance,,
name13dist,persnet_survey,,radio,[name13],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,distance,,
name14dist,persnet_survey,,radio,[name14],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,distance,,
name15dist,persnet_survey,,radio,[name15],"1, Same house | 2, 0-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,distance,,
nfl_team,persnet_survey,"<u><font size=3>Your Football History</u></font>",dropdown,"Which NFL team do you primarily identify with?","1, 49ers | 2, Bears | 3, Bengals | 4, Bills | 5, Broncos | 6, Browns | 7, Buccaneers | 8, Cardinals | 9, Chargers | 10, Chiefs | 11, Colts | 12, Cowboys | 13, Dolphins | 14, Eagles | 15, Falcons | 16, Giants | 17, Jaguars | 18, Jets | 19, Lions | 20, Packers | 21, Panthers | 22, Patriots | 23, Raiders | 24, Rams | 25, Ravens | 26, Redskins | 27, Saints | 28, Seahawks | 29, Steelers | 30, Texans | 31, Titans | 32, Vikings","This is not necessarily the team <br/> for which you played the longest.",,,,,,,,,,,
team_years,persnet_survey,,text,"How many years did you play for the team <br/>selected above?",,,integer,1,50,,,,,,,,
number_teams,persnet_survey,,dropdown,"How many different NFL teams did you play <br/> with during your career?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27 | 28, 28 | 29, 29 | 30, 30 | 31, 31 | 32, 32",,,,,,,,,,,,
difficulties,persnet_survey,"<u><font size=3>Finally...</u></font>",yesno,"Did you encounter any technical difficulties <br/> during this survey?",,,,,,,,,,,,,
followup,persnet_survey,,yesno,"You have provided important information <br/> regarding the personal networks of athletes. <br/> We are interested in seeing how personal <br/> networks change over time. Would you be <br/> interested in being contacted in the future <br/> for a follow up study?",,,,,,,,,,,,,
hearabout,persnet_survey,,checkbox,"How did you hear about the personal network <br/> survey? <span style = ""font-weight:lighter; font-style:italic"">(Select all that apply)</span>","email, Email from the Football Players Health Study | socmed, Football Players Health Study Social Media | fbfriend, From a friend who is a former player | spouse, From a spouse/partner | other, Other",,,,,,,,,,,,
hearabout_exp,persnet_survey,,text,"Please specify:",,,,,,,"[hearabout(other)] = '1'",,,,,,@CHARLIMIT=20
